Subject,Main Category,Sub Category
FW: Application Status Update - 2024/03/15,Admissions,Application Status
RE: Scholarship Inquiry [#SCH2024],Admissions,Scholarship
Applicant TR10 Interview Schedule - 2024-04-01,Admissions,Interview Scheduling
Admission Letter for UG10 Candidate,Admissions,Offer Letter
Missing Transcript for Application ID #12345,Admissions,Document Verification
RE: UG20 Entrance Exam Results 2024-05-10,Admissions,Exam Results
Inquiry: International Student Requirements,Admissions,General Inquiry
FW: Payment of Admission Fee - 2024/04/22,Admissions,Fee Payment
Notification: Admission Deferral Request,Admissions,Deferral
Admission Reconsideration Appeal UG30,Admissions,Appeal
Course Registration Confirmation 2024-06-01,Courses,Registration
RE: Request for Course Change [#CRS5678],Courses,Course Change
FW: Timetable for Fall Semester UG40,Courses,Timetable
Classroom Allocation for MTH101,Courses,Classroom Allocation
Course Withdrawal Form Submission,Courses,Withdrawal
RE: Enrollment Verification Letter,Courses,Verification
FW: Assignment Deadline Extension Request,Courses,Assignments
Midterm Exam Schedule 2024-10-15,Courses,Exam Schedule
Project Submission Reminder [#PRJ2024],Courses,Project Submission
Lab Session Change Notification,Courses,Lab Scheduling
FW: Staff Meeting Agenda 2024/05/20,Administration,Meetings
Holiday Announcement - 2024-12-25,Administration,Announcements
Policy Update: Academic Integrity [#POL2024],Administration,Policy Updates
New Faculty Appointment Notice UG50,Administration,Faculty
RE: Request for ID Card Replacement,Administration,ID Card
FW: Budget Allocation for Science Department,Administration,Budget
Staff Training Workshop Invitation,Administration,Training
RE: Maintenance Request for Classroom 101,Administration,Maintenance
Fire Drill Notification 2024-09-01,Administration,Safety
FW: Annual Report Submission [#RPT2024],Administration,Reports
